x	y
196.972	122.808
197.498	144.708
199.521	166.525
202.291	188.936
206.847	211.706
216.529	232.046
230.8	248.354
247.962	260.605
267.66	265.755
290.487	261.303
311.251	250.02
329.401	234.574
343.667	214.916
352.413	192.853
356.916	171.139
359.082	150.001
360.014	128.681
204.426	109.93
212.714	105.191
222.855	104.35
233.165	106.269
243.193	109.933
286.938	111.673
298.277	108.682
309.996	107.424
321.566	108.909
331.506	114.184
265.478	130.886
263.997	144.604
262.487	158.301
261.112	171.845
251.409	181.277
257.44	183.742
263.802	185.156
271.132	184.054
278.144	181.881
219.252	128.526
226.926	124.449
235.998	124.635
243.556	129.136
235.433	131.37
226.878	131.395
292.127	130.721
299.599	126.715
308.682	127.186
316.385	131.765
308.549	134.062
299.999	133.54
240.106	209.507
246.756	204.701
254.887	201.436
263.825	203.86
274.566	201.919
284.525	205.703
293.522	211.027
285.463	216.981
275.567	220.441
265.061	221.655
255.764	220.024
247.131	216.013
255.559	208.969
264.421	210.553
275.558	209.42
275.838	209.633
265.033	210.713
256.143	209.139
